,0
세상,6
돌연변이,7
쌀,24
전국,7
보급,20
기술,145
정읍,7
부흥,4
기획,97
뉴스,98
기사,400
본문,68
헬로디디,59
주요,45
서비스,28
문,16
매체,56
정보,46
로그인,14
기,72
검색,42
가,28
전체,117
상단,14
영역,47
인물,28
현장,87
제품,36
오피니언,30
정책,83
행사,35
인사,42
동정,42
조간,28
브리핑,28
독자,31
자유,19
게시판,14
알림,14
부,17
과학,427
문화,21
사진,59
방,14
라이프,42
헬로,28
맛집,42
서평,28
주간,42
책,28
캘린더,42
메뉴,56
버튼,14
화,28
대전,41
서울,19
경기,14
인천,14
광주,15
대구,17
울산,15
부산,14
강원,14
충북,20
충남,14
전북,14
전남,14
경북,30
경남,14
제주,14
세종,14
미세먼지,238
소개,37
광고,28
안내,28
제보,28
위치,21
홈,14
기자,85
이유진,15
입력,28
수정,57
댓글,182
페이스북,42
으,210
트위터,42
카카오톡,42
네이버,42
라인,42
복사,56
하기,14
글씨,28
원자력,1
첨단방사선연구소,7
방사선,13
육종,14
농민,6
지원,34
벼,26
종,5
콩,6
연,22
성분,13
재배,79
난이도,4
이형로,2
생산량,5
재원,2
상품,5
가치,11
안준,3
우,3
실장,3
연구소,49
지역민,3
의미,5
한국원자력연구원,16
가을,5
추수,3
한창,2
개발,79
품종,16
제공,10
취재,57
방문,11
콤바인,1
논,1
수확,40
동시,4
탈곡,1
작업,2
일반,7
해,19
동안,4
연구,117
조사,5
자연,10
상태,14
낮,1
확률,1
발생,17
빈도,1
인위,1
방식,14
특정,7
극대,1
국내,32
기후,7
개조,1
국산,17
가능,53
이상,17
역사,8
안전,14
공인,2
방법,10
식량,1
작물,2
화훼류,1
과수,1
대상,11
다양,17
신,2
농가,21
조생서리,1
녹원찰,7
토코미,2
흑선,2
찰,2
연구실장,1
품종개량,2
종자,8
양,4
방사선과,1
물체,1
거리,3
국화,1
케나프,1
등록,40
설명,27
맞춤,2
영양분,1
특징,1
인기,3
초록빛,1
필수,5
아미노산,4
카로테노이드,2
클로,2
필,2
다량,3
함유,3
주식,1
한국,76
농업,9
주력,6
통계청,1
올해,12
작년,2
대비,3
수치,1
면적,6
헥타르,1
압도,1
수준,10
토코홍미,3
원청,1
원평,1
원,4
미,15
품,1
원츄,1
원명,1
원광,1
골드아미,2
국가,14
완료,9
대지,1
차지,4
초록,5
빛,17
녹미,1
재래종,1
청녹미,1
적정량,1
감마선,1
신체,1
활성산소,1
제거,1
항산화,1
능력,5
증대,3
병,1
해충,1
밖,1
배,6
배양,1
캘러스,1
기반,33
선발,2
비타민,1
계열,1
토코페롤,1
함량,6
안토시아닌,1
경우,5
트립토판,1
라이신,1
포함,6
권순,2
연구실,16
책임,20
연구원,34
농사,2
유전자원,1
평,2
우수,5
왼쪽,2
오른쪽,1
시험,65
포장,1
총괄,3
관리,12
이,10
덕만,1
선임,15
기술원,5
유관,2
기관,13
개량,2
무상,2
밭,1
량,3
시작,20
분양,2
연초,1
정읍시,1
감곡면,1
거주,1
상황,7
키,6
비료,1
조,1
생,1
서리,1
열매,1
장점,2
말,19
비,5
맛,1
시중,1
내년,6
예정,11
안,8
법,4
환경,22
결과,7
지역,88
보탬,1
강조,20
공유,17
닫기,8
관련,12
안동,43
생태,59
승부수,19
대마,105
산업,107
감사원,4
감사,18
소멸,11
투혼,4
공무원,4
군청,4
기업,55
대학,14
거창,4
승강기,4
클러스터,10
산림,4
숲,4
마을,18
에너지,13
도시,9
인구,8
증가,11
실현,10
땅,4
기적,4
전통,5
기회,7
발전,11
요소,6
보기,14
저작권자,14
무단,28
전재,14
배포,14
금지,20
욕설,14
타인,14
비방,14
게시물,14
예고,14
삭제,70
작성자,14
비밀번호,42
내용,16
록,14
정렬,14
최신,14
추천,42
답,33
글,31
운영,28
기준,21
수,14
합산,14
자동,14
노출,14
복구,14
작성,14
후,40
밤,45
고물상,45
열차,57
파괴,44
국제,63
표준,76
연구자,46
냉가슴,44
투자,21
혹한,14
